course,title,group,units,classification,description,prerequisites,corequisites,recommended,repeatability,grading,instructional_methods,typically_offered,credit_restrictions,breadth,learning_outcomes,last_proposal,proposal_count,findings_technical,findings_content
MUS 103A,Elementary Piano for Non-Majors I,Music: Courses for Non-Music Majors,1,blank,Beginner-level instruction in piano for non-majors. Includes basic musicianship and music literacy with a specific application to the piano. Assumes no prior musical experiences.,,,,May be repeated for credit for a maximum of 2 units.,A-F or CR/NC (student choice).,On-ground.,,,,1. Perform simple compositions with proper technique | 2. Perform rhythms with basic note values | 3. Read and sight-read piano music at an elementary level | 4. Perform in ensemble with other students | 5. Identify and interpret a variety of musical symbols | 6. Aurally identify and play back short musical patterns,2019-02-15,1,no teaching component or classification on record,
MUS 103B,Elementary Piano for Non-Majors II,Music: Courses for Non-Music Majors,1,blank,Beginner-to-early intermediate level instruction in piano for non-majors. Includes musicianship and music literacy with a specific application to recreational piano playing. Assumes some prior musical knowledge.,MUS 103A.,,Audition for instructor.,May be repeated for credit for a maximum of 2 units.,A-F or CR/NC (student choice).,On-ground.,,Not Open for Music Majors or Minors.,,1. Perform early-intermediate repertoire of diverse styles | 2. Read piano music at an early-intermediate level | 3. Perform in ensemble with other students | 4. Identify and interpret a variety of musical symbols | 5. Aurally identify and play back short musical patterns,2019-02-15,1,no teaching component or classification on record,
MUS 106,History of Rock Music,Music: Courses for Non-Music Majors,3,C01 3u,"African, rhythm and blues, and classical music sources. Previous musical training not necessary.",,,,,A-F or CR/NC (student choice).,Online-Asynchronous.,Fall & Spring,,GE-3A - Arts,"1. Express informed opinions and judgments about a variety of styles of popular music; | 2. Communicate critical thoughts, opinions, and judgments about the creative work of different artists and bands from the 1950’s forward | 3. Make connections between cultural influences, social/political movements, and relevant events and popular music of the same time period | 4. Quickly recall factual knowledge about different artists/bands and contributing factors to their artistry and artistic output from the 1940’s forward; | 5. Identify and discuss forms and influences of diverse cultures in American popular music; | 6. Research and present a genre and a single artist/ group that are of personal significance to the student GE-3A. Arts Learning Outcomes | 7. Evaluate the impact of the arts on their life. | 8. Examine the cultural and/or historical context(s) of the arts. | 9. Describe the ways that diverse identities influence the creation and experience of art. | 10. Identify the role of art in diverse settings.",2025-09-15,3,,
MUS 106B,Music in Film,Music: Courses for Non-Music Majors,3,C01 3u,Exploration of the role of music in films as it stimulates the emotional response to the visual aspects of the art form and an examination of the historical evolution of film scoring.,,,,,A-F or CR/NC (student choice).,Online-Asynchronous.,Spring ONLY,,GE-3A - Arts,"1. Demonstrate factual knowledge of musically significant films and film composers; | 2. Discuss music in film using proper musical terminology, i.e. timbre, dynamics, register, instrumentation, etc; | 3. Demonstrate the ability to identify distinctive elements of specific genres of film music; | 4. View and analyze films featuring musical elements and/or composers from a variety of cultures and traditions, with a primary focus on American film; | 5. Identify, analyze and discuss the use of music from an aesthetic and creative perspective; | 6. Present the student’s own analysis and commentary on a specific film’s music. GE-3A. Arts Learning Outcomes | 7. Evaluate the impact of the arts on their life. | 8. Examine the cultural and/or historical context(s) of the arts. | 9. Describe the ways that diverse identities influence the creation and experience of art. | 10. Identify the role of art in diverse settings.",2025-09-15,3,,
MUS 106C,History of the Blues,Music: Courses for Non-Music Majors,3,C01 3u,Examination of a musical genre that forms the backbone of much American popular music. Survey of the way the various Blues sub-genres have influenced popular music and culture in the United States.,,,,,A-F or CR/NC (student choice).,Online-Asynchronous.,Fall & Spring,,GE-3A - Arts,"1. Apply a range of general and specialized terms relating to the study of music; | 2. Quickly recall factual knowledge and communicate critical thoughts about key performers of the blues and factors that contributed to their artistry and output; | 3. Express informed opinions and judgments about several styles of the blues and explain how they were shaped by the historical, social, political, and economic contexts in which they were created, consumed, and valued; | 4. Describe your aesthetic experience of the blues in ways that capture your imagination, sensitivity, and emotional responses to the sounds you hear. GE-3A. Arts Learning Outcomes | 5. Evaluate the impact of the arts on their life. | 6. Examine the cultural and/or historical context(s) of the arts. | 7. Describe the ways that diverse identities influence the creation and experience of art. | 8. Identify the role of art in diverse settings.",2025-09-15,3,,
MUS 108,The Language of Music,Music: Courses for Non-Music Majors,3,C05 3u,"Introduction to the materials and structures of Western tonal music, including notation, rhythm, scales, intervals, chords, and form. Students practice listening, analysis, and short creative projects while exploring how music communicates expression, cultural meaning, and identity across settings.",,,,,A-F or CR/NC (student choice).,On-ground,Fall & Spring,,GE-3A - Arts,"1. Apply music theory terminology to read, write, and describe musical notation (pitches, rhythms, intervals, scales, chords, cadences, and forms). | 2. Demonstrate how fundamental musical concepts support expression and communication in music. | 3. Evaluate their own aesthetic responses to music using theoretical vocabulary. | 4. Examine how cultural and historical contexts shape the use and perception of musical fundamentals. | 5. Describe how diverse identities influence the creation, performance, and reception of music. | 6. Identify the roles that music plays in different settings (worship, entertainment, protest, community). GE-3A. Arts Learning Outcomes | 7. Evaluate the impact of the arts on their life. | 8. Examine the cultural and/or historical context(s) of the arts. | 9. Describe the ways that diverse identities influence the creation and experience of art. | 10. Identify the role of art in diverse settings.",2025-09-15,3,,"outcomes, from the syllabus: 1. Apply music theory terminology to read, write, and describe musical notation (pitches, rhythms, intervals, scales, chords, cadences, and forms). 2. Demonstrate how fundamental musical concepts support expression and communication in music. 3. Evaluate their own aesthetic responses to music using theoretical vocabulary. 4. Examine how cultural and historical contexts shape the use and perception of musical fundamentals. 5. Describe how diverse identities influence the creation, performance, and reception of music. 6. Identify the roles that music plays in different settings (worship, entertainment, protest, community)."
MUS 109,Music Theory,Music: Theory and Musicianship,2,C10 2u,"Intensive course that introduces students to the inner workings of music of the 18th, 19th, and 20th centuries, from diatonic harmony, part-writing, voice-leading, and harmonization techniques to chromatic harmony, tonicization and modulation and other advanced tonal and modal procedures.",,,,Repeatable for credit up to 6 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"1. Demonstrate skill in diatonic and chromatic harmony, voiceleading and advanced tonal procedures. | 2. Read, write, analyze, and discuss music, with correct terminology and nomenclature. | 3. Discuss and evaluate music, from an aesthetic and technical point of view. | 4. Implement the principles and concepts studied in class via performance on their major instrument or voice, or in their compositional craft.",2023-09-14,1,repeatability uses non-standard phrasing,
MUS 110,Aural Skills,Music: Theory and Musicianship,1,C10 1u,"Development of music reading skills applicable to all instrumental and vocal performance media. Melodic, rhythmic and harmonic dictation, analysis and singing of melodies and melodic exercises; study and performance of basic rhythmic materials.",,,,Repeatable for credit up to 3 units.,A-F or CR/NC (student choice).,On-ground.,Fall & Spring,,,"1. Read, write, and analyze music, with correct terminology and nomenclature. | 2. Perform melodies and rhythms of musical examples accurately. | 3. Take melodic, harmonic, and rhythmic dictation appropriate to the level of music examples being performed in class. | 4. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2023-09-14,1,repeatability uses non-standard phrasing,
MUS 111,Music Theory I,Music: Theory and Musicianship,2,C10 2u,"The first of three intensive courses that introduce students to the inner workings of European art music of the 18th and 19th centuries. This course will cover diatonic harmony, as well as part-writing, voice-leading, and harmonization techniques.",MUS 108 or satisfactory score on the Music Theory Advisory Exam.,"MUS 115, MUS 118.",,,A-F or CR/NC (student choice).,On-ground.,Spring ONLY,,,"1. Master the vocabulary and elements of music. | 2. Demonstrate fluency in the basic principals of harmony and voiceleading. | 3. Read, write, analyze, and discuss music, with correct terminology and nomenclature. | 4. Discuss and evaluate music, from an aesthetic and technical point of view. | 5. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2019-08-07,2,,"description: The first of three intensive courses that introduce students to the inner workings of European art music of the 18th and 19th centuries. This course covers diatonic harmony, as well as part-writing, voice-leading, and harmonization techniques. || outcomes, from the syllabus: 1. Read, write, and analyze the fundamental materials of tonal music using correct terminology and nomenclature. 2. Construct and identify all triad and seventh chord types in root position and inversion. 3. Write four-part (SATB) harmonic progressions using I, V, V⁷, and their inversions, applying basic voice-leading principles. 4. Compose and analyze two-voice counterpoint through fourth species. 5. Apply theoretical concepts at the keyboard and in performance on the student's primary instrument or voice."
MUS 112,Music Theory II,Music: Theory and Musicianship,2,C10 2u,"The second of three intensive courses that introduce students to the inner workings of European art music of the 18th and 19th centuries. This course will complete diatonic harmony, as well introduce advanced part-writing, voice-leading, and harmonization techniques.",,MUS 116 and MUS 119.,MUS 115 and MUS 118.,,A-F or CR/NC (student choice).,On-ground.,Variable Intermittently,,,"1. Demonstrate skill in diatonic harmony and voiceleading. | 2. Read, write, analyze, and discuss music, with correct terminology and nomenclature. | 3. Discuss and evaluate music, from an aesthetic and technical point of view. | 4. Implement the principles and concepts studied in class via performance on your major instrument or voice.",2019-08-07,2,,"description: The second of three intensive courses that introduce students to the inner workings of European art music of the 18th and 19th centuries. This course completes diatonic harmony and introduces advanced part-writing, voice-leading, and harmonization techniques. || outcomes, from the syllabus: 1. Write and analyze SATB progressions using the full vocabulary of diatonic harmony, including all diatonic triads and seventh chords. 2. Identify and apply embellishing chords, the cadential 6/4, and other 6/4 chord types in functional context. 3. Recognize and compose diatonic sequences. 4. Analyze tonal works using Roman numerals, figured bass, and functional labels. 5. Apply diatonic harmonic vocabulary at the keyboard and in performance on the student's primary instrument or voice."
